Tract ID,County,Estimate!!Total,Year
161.01,San Francisco,2444,2023
161.02,San Francisco,2798,2023
162,San Francisco,3198,2023
163,San Francisco,3794,2023
164,San Francisco,3481,2023
165,San Francisco,5393,2023
166.01,San Francisco,3027,2023
166.02,San Francisco,1986,2023
167,San Francisco,5092,2023
168.01,San Francisco,4013,2023
168.02,San Francisco,3754,2023
169,San Francisco,2890,2023
170,San Francisco,4016,2023
171.01,San Francisco,4125,2023
171.02,San Francisco,3550,2023
176.02,San Francisco,3251,2023
176.03,San Francisco,4527,2023
176.04,San Francisco,3720,2023
177,San Francisco,2360,2023
178.01,San Francisco,3335,2023
178.03,San Francisco,2318,2023
178.04,San Francisco,3911,2023
179.03,San Francisco,2829,2023
180,San Francisco,3636,2023
201.01,San Francisco,4221,2023
201.02,San Francisco,3627,2023
202.01,San Francisco,1847,2023
202.02,San Francisco,3929,2023
203,San Francisco,3372,2023
204.01,San Francisco,3409,2023
204.02,San Francisco,4083,2023
205,San Francisco,2895,2023
206.01,San Francisco,3073,2023
206.02,San Francisco,2369,2023
207.01,San Francisco,3032,2023
207.02,San Francisco,2046,2023
208.01,San Francisco,3732,2023
208.02,San Francisco,2274,2023
209,San Francisco,3644,2023
210,San Francisco,3739,2023
211,San Francisco,4054,2023
212,San Francisco,3052,2023
213,San Francisco,2948,2023
214,San Francisco,3522,2023
215,San Francisco,5341,2023
216,San Francisco,4417,2023
217,San Francisco,4459,2023
218,San Francisco,3999,2023
226,San Francisco,4210,2023
227.02,San Francisco,2017,2023
227.04,San Francisco,3982,2023
228.01,San Francisco,4755,2023
228.02,San Francisco,2236,2023
228.03,San Francisco,4098,2023
229.01,San Francisco,4197,2023
229.02,San Francisco,2019,2023
229.03,San Francisco,2675,2023
230.01,San Francisco,5576,2023
230.03,San Francisco,4025,2023
231.02,San Francisco,3411,2023
231.03,San Francisco,4512,2023
232,San Francisco,4214,2023
233,San Francisco,3934,2023
234,San Francisco,3811,2023
251,San Francisco,3342,2023
252,San Francisco,5610,2023
253,San Francisco,4218,2023
254.01,San Francisco,3706,2023
254.02,San Francisco,3163,2023
254.03,San Francisco,4686,2023
255.01,San Francisco,4073,2023
255.02,San Francisco,3451,2023
256,San Francisco,5290,2023
257.01,San Francisco,5047,2023
257.02,San Francisco,4601,2023
258,San Francisco,1776,2023
259,San Francisco,4134,2023
260.01,San Francisco,6010,2023
260.02,San Francisco,3731,2023
260.03,San Francisco,4873,2023
260.04,San Francisco,3924,2023
261,San Francisco,6601,2023
262.01,San Francisco,3928,2023
262.02,San Francisco,3664,2023
263.01,San Francisco,4955,2023
263.02,San Francisco,4707,2023
263.03,San Francisco,4425,2023
264.01,San Francisco,3470,2023
264.02,San Francisco,4654,2023
264.03,San Francisco,3453,2023
264.04,San Francisco,2404,2023
301.01,San Francisco,4588,2023
301.02,San Francisco,4808,2023
302.01,San Francisco,4120,2023
302.02,San Francisco,4017,2023
303.01,San Francisco,6509,2023
303.02,San Francisco,3492,2023
304,San Francisco,5120,2023
